,T03,T04,T05,T06,T02,index
1712,0.0,0.0,0.0,0.0,588,2
1927,0.0,0.0,0.0,0.0,588,4
2139,0.0,0.0,0.0,0.0,1002,6
2247,0.0,0.0,0.0,0.0,904,7
2465,0.0,0.0,0.0,0.0,932,8
2356,0.0,0.0,0.0,0.0,932,8
2464,0.0,0.0,0.0,0.0,901,9
107,4220.0,12454.0,0.0,8136.0,922,10
215,11877.0,20641.0,0.0,0.0,960,11
324,15978.0,0.0,0.0,0.0,855,12
435,15718.0,0.0,0.0,0.0,914,13
545,15828.0,0.0,0.0,0.0,838,14
656,21314.0,0.0,0.0,0.0,965,15
764,23156.0,0.0,0.0,0.0,930,16
874,27379.0,0.0,0.0,0.0,883,17
984,25848.0,0.0,0.0,0.0,968,18
1094,0.0,0.0,0.0,0.0,962,19
1205,0.0,0.0,0.0,0.0,951,20
1316,0.0,0.0,0.0,0.0,965,21
1427,0.0,0.0,0.0,0.0,970,22
1535,0.0,0.0,0.0,0.0,1006,23
1645,0.0,0.0,0.0,0.0,978,24
1668,0.0,0.0,0.0,0.0,926,25
1679,0.0,0.0,0.0,0.0,975,26
1689,0.0,0.0,0.0,0.0,994,27
1700,0.0,0.0,0.0,0.0,1008,28
1711,0.0,0.0,0.0,0.0,988,29
1723,0.0,0.0,0.0,0.0,988,30
1733,0.0,0.0,0.0,0.0,976,31
1744,0.0,0.0,0.0,0.0,980,32
1755,0.0,0.0,0.0,0.0,986,33
1766,0.0,0.0,0.0,0.0,881,34
1786,0.0,0.0,0.0,0.0,1188,36
1797,0.0,0.0,0.0,0.0,1427,37
1808,0.0,0.0,0.0,0.0,1407,38
1818,0.0,0.0,0.0,0.0,1517,39
1829,0.0,0.0,0.0,0.0,1470,40
1840,0.0,0.0,0.0,0.0,1456,41
1851,0.0,0.0,0.0,0.0,1443,42
1862,0.0,0.0,0.0,0.0,1454,43
1872,0.0,0.0,0.0,0.0,1460,44
1883,0.0,0.0,0.0,0.0,1473,45
1894,0.0,0.0,0.0,0.0,1506,46
1905,0.0,0.0,0.0,0.0,1405,47
1915,0.0,0.0,0.0,0.0,1394,48
1926,0.0,0.0,0.0,0.0,1437,49
1938,0.0,0.0,0.0,0.0,1487,50
1949,0.0,0.0,0.0,0.0,1521,51
1959,0.0,0.0,0.0,0.0,1470,52
1970,0.0,0.0,0.0,0.0,1469,53
1981,0.0,0.0,0.0,0.0,1419,54
1991,0.0,0.0,0.0,0.0,1517,55
2001,0.0,0.0,0.0,0.0,1477,56
2012,0.0,0.0,0.0,0.0,1550,57
2023,0.0,0.0,0.0,0.0,1474,58
2034,0.0,0.0,0.0,0.0,1451,59
2043,0.0,0.0,0.0,0.0,1507,60
2052,0.0,0.0,0.0,0.0,1525,61
2063,0.0,0.0,0.0,0.0,1503,62
2074,0.0,0.0,0.0,0.0,1540,63
