,T03,T04,T05,T06,T01,T07,T09,T10,T11,T02
0,4001.0,3837.0,4392.0,6600.0,2756.0,3587.0,7191.0,9204.0,13401.0,1407
1,4546.0,4707.0,5373.0,7801.0,3526.0,4220.0,8316.0,10423.0,14609.0,1407
2,4053.0,4905.0,5712.0,8171.0,3610.0,4110.0,8472.0,10463.0,14730.0,1496
3,4235.0,4832.0,5745.0,7994.0,3632.0,4183.0,8744.0,10446.0,14985.0,1447
4,4165.0,4812.0,6261.0,7993.0,3744.0,4307.0,8410.0,10441.0,14765.0,1436
5,4612.0,4987.0,6514.0,7837.0,3658.0,4120.0,8231.0,10256.0,34087.0,1425
6,4542.0,5060.0,6426.0,8149.0,3917.0,4320.0,8700.0,10469.0,0.0,1454
7,4565.0,5020.0,6454.0,8172.0,3845.0,4248.0,8856.0,10232.0,0.0,1439
8,4147.0,5028.0,6482.0,7971.0,3729.0,4164.0,8718.0,10310.0,0.0,1453
9,4552.0,5112.0,6745.0,7956.0,4075.0,4364.0,8781.0,10132.0,0.0,1387
10,4405.0,5049.0,6607.0,7988.0,3988.0,4360.0,8794.0,9886.0,0.0,1373
11,4572.0,5334.0,6237.0,7981.0,4128.0,4209.0,8816.0,10424.0,0.0,1417
12,4529.0,5253.0,6308.0,8131.0,4239.0,4212.0,8678.0,10283.0,0.0,1487
13,4475.0,5461.0,6336.0,7911.0,3964.0,4419.0,8908.0,10496.0,0.0,1501
14,4221.0,5287.0,6745.0,7494.0,3913.0,4446.0,8942.0,10480.0,0.0,1470
15,4452.0,5470.0,7034.0,7772.0,3947.0,4178.0,9188.0,10547.0,0.0,1450
16,4699.0,5486.0,6925.0,7783.0,3937.0,4438.0,8975.0,10556.0,0.0,1398
17,4614.0,5467.0,6649.0,7728.0,4034.0,4460.0,9080.0,10760.0,0.0,1498
18,4517.0,5380.0,6982.0,8056.0,3893.0,4559.0,9500.0,10537.0,0.0,1457
19,4288.0,5516.0,6949.0,7876.0,4077.0,4386.0,9165.0,10562.0,0.0,1532
20,4502.0,5432.0,6858.0,8025.0,4128.0,4497.0,9130.0,10531.0,0.0,1456
21,5257.0,5625.0,6842.0,7976.0,4104.0,4484.0,9672.0,10569.0,0.0,1431
22,5356.0,5405.0,6780.0,7997.0,4051.0,4397.0,9467.0,10541.0,0.0,1487
23,5319.0,5495.0,6834.0,8138.0,4081.0,4522.0,9265.0,10785.0,0.0,1505
24,5432.0,5552.0,7023.0,7812.0,4071.0,4521.0,9276.0,10387.0,0.0,1483
25,5200.0,5433.0,7051.0,7950.0,3932.0,4395.0,9302.0,10808.0,0.0,1518
26,5094.0,5451.0,6852.0,7782.0,4053.0,4436.0,9370.0,10600.0,0.0,1526
27,5100.0,5678.0,7031.0,7643.0,4170.0,4545.0,9542.0,10613.0,0.0,1464
28,5188.0,5558.0,6872.0,7809.0,4054.0,4445.0,9404.0,10364.0,0.0,1480
29,5189.0,5634.0,7043.0,7815.0,4050.0,4450.0,9444.0,10393.0,0.0,1440
30,5150.0,4784.0,5873.0,7983.0,4145.0,4469.0,9481.0,10859.0,0.0,1468
31,5155.0,5769.0,6897.0,7990.0,4069.0,4460.0,9558.0,10612.0,0.0,1416
32,4970.0,5874.0,6673.0,7949.0,4138.0,4453.0,9333.0,10858.0,0.0,1639
33,5224.0,6066.0,7100.0,7990.0,4141.0,4488.0,9757.0,10911.0,0.0,1567
34,5151.0,5817.0,7290.0,7850.0,4285.0,4472.0,9599.0,10893.0,0.0,1524
35,5278.0,5786.0,7130.0,7845.0,4125.0,4481.0,9642.0,10633.0,0.0,1511
36,5191.0,5887.0,7284.0,8032.0,3940.0,4575.0,9646.0,10649.0,0.0,1495
37,5276.0,5935.0,7307.0,7881.0,3942.0,4811.0,9642.0,10180.0,0.0,1466
38,5111.0,5790.0,7340.0,7917.0,4401.0,4675.0,9678.0,10448.0,0.0,1504
39,4132.0,5788.0,7269.0,8073.0,3507.0,4600.0,9916.0,10544.0,0.0,1544
40,4928.0,5702.0,7457.0,6997.0,4390.0,4131.0,8611.0,9853.0,0.0,1584
41,5309.0,5840.0,7256.0,8077.0,4631.0,4268.0,9356.0,10692.0,0.0,1523
42,5345.0,5924.0,7400.0,8219.0,4320.0,4870.0,9772.0,10725.0,0.0,1542
43,5347.0,5914.0,7329.0,7711.0,4335.0,4823.0,9630.0,10733.0,0.0,1534
44,5597.0,6013.0,7645.0,8191.0,4529.0,4905.0,9851.0,10731.0,0.0,1513
45,5511.0,5902.0,7466.0,7920.0,4428.0,4809.0,9282.0,10760.0,0.0,1550
46,5546.0,6062.0,7412.0,8220.0,4522.0,4922.0,9483.0,10796.0,0.0,1561
47,5550.0,6054.0,7551.0,8027.0,4549.0,4910.0,9494.0,10861.0,0.0,1587
48,4989.0,6027.0,7626.0,8257.0,4434.0,4918.0,9297.0,10894.0,0.0,1517
49,4238.0,5919.0,7765.0,8250.0,4538.0,4834.0,9500.0,10906.0,0.0,1540
50,5503.0,5946.0,7609.0,8287.0,4533.0,4631.0,9737.0,11129.0,0.0,1554
51,5280.0,5810.0,7444.0,8300.0,4531.0,4706.0,9701.0,10897.0,0.0,1568
52,5575.0,5922.0,7780.0,7954.0,4401.0,4956.0,9543.0,10902.0,0.0,1577
53,5660.0,6045.0,7410.0,7925.0,4701.0,4933.0,9545.0,10945.0,0.0,1608
54,5763.0,6003.0,8028.0,8136.0,4619.0,4849.0,9742.0,10922.0,0.0,1604
55,5322.0,6146.0,7923.0,8493.0,4589.0,4960.0,9577.0,10996.0,0.0,1567
56,5480.0,6173.0,8309.0,8167.0,4503.0,4765.0,9553.0,10972.0,0.0,1615
57,5529.0,6069.0,7806.0,8156.0,4594.0,4835.0,9577.0,11220.0,0.0,1579
58,5129.0,6204.0,8199.0,8148.0,4711.0,4937.0,9543.0,11330.0,0.0,1581
59,4535.0,6202.0,8214.0,8181.0,4631.0,4762.0,9798.0,11525.0,0.0,1563
60,5124.0,5136.0,6807.0,8199.0,4519.0,5008.0,9610.0,11544.0,0.0,1555
61,5235.0,6063.0,8141.0,8128.0,4695.0,4899.0,9418.0,11539.0,0.0,1557
62,5494.0,5834.0,8378.0,8529.0,4588.0,5005.0,9596.0,12710.0,0.0,1545
63,5333.0,5957.0,8386.0,8361.0,4477.0,4992.0,9826.0,12602.0,0.0,1513
64,5572.0,6088.0,8399.0,8158.0,4669.0,4796.0,9591.0,12716.0,0.0,1529
65,5471.0,6052.0,8913.0,8500.0,4579.0,4902.0,9819.0,13066.0,0.0,1578
66,5382.0,5951.0,9139.0,8150.0,4612.0,4899.0,9623.0,12808.0,0.0,1063
67,5445.0,5924.0,9890.0,8224.0,4670.0,4890.0,9619.0,12846.0,0.0,1347
68,5482.0,5769.0,10215.0,8186.0,4722.0,5011.0,9429.0,12847.0,0.0,1296
69,5652.0,6023.0,10430.0,8219.0,4726.0,4944.0,9851.0,12920.0,0.0,1321
70,5541.0,6054.0,11196.0,8032.0,4603.0,5023.0,9630.0,12905.0,0.0,1313
71,5701.0,5911.0,12724.0,8376.0,4609.0,4918.0,9843.0,12936.0,0.0,1299
72,5523.0,5937.0,20631.0,8413.0,4613.0,4951.0,9641.0,34042.0,0.0,1334
73,5487.0,6046.0,27177.0,8388.0,4533.0,5031.0,9645.0,0.0,0.0,1454
74,5879.0,5915.0,32203.0,8249.0,4542.0,5032.0,9670.0,0.0,0.0,1420
75,5651.0,6048.0,0.0,8470.0,4876.0,4957.0,9684.0,0.0,0.0,1440
76,5702.0,5179.0,0.0,8452.0,4784.0,5069.0,9680.0,0.0,0.0,1336
77,5761.0,6012.0,0.0,8481.0,4709.0,4958.0,9860.0,0.0,0.0,1364
78,4466.0,5870.0,0.0,8116.0,4694.0,4984.0,9878.0,0.0,0.0,1416
79,4840.0,5924.0,0.0,8286.0,3815.0,4949.0,9864.0,0.0,0.0,1402
80,5282.0,5897.0,0.0,7092.0,4574.0,5082.0,9009.0,0.0,0.0,1415
81,5208.0,6147.0,0.0,8164.0,4844.0,4341.0,9668.0,0.0,0.0,1372
82,5390.0,5900.0,0.0,7966.0,4729.0,4450.0,9894.0,0.0,0.0,1440
83,5063.0,6027.0,0.0,8368.0,4849.0,5006.0,9708.0,0.0,0.0,1448
84,5358.0,5940.0,0.0,8350.0,4873.0,5138.0,9712.0,0.0,0.0,1444
85,5112.0,6176.0,0.0,8563.0,4549.0,4899.0,9730.0,0.0,0.0,1459
86,4926.0,5919.0,0.0,8078.0,4756.0,5137.0,9734.0,0.0,0.0,1402
87,5183.0,5943.0,0.0,8235.0,4796.0,5037.0,9505.0,0.0,0.0,1399
88,5589.0,6293.0,0.0,8268.0,4773.0,5044.0,9705.0,0.0,0.0,1411
89,5483.0,6289.0,0.0,8125.0,4825.0,5173.0,9702.0,0.0,0.0,1427
90,5335.0,5463.0,0.0,8490.0,4761.0,4801.0,9742.0,0.0,0.0,1486
91,5147.0,6055.0,0.0,8503.0,4652.0,5153.0,9971.0,0.0,0.0,1489
92,5154.0,6308.0,0.0,8506.0,4663.0,4950.0,9974.0,0.0,0.0,1477
93,5062.0,6344.0,0.0,8356.0,4555.0,4952.0,9955.0,0.0,0.0,1472
94,5579.0,6354.0,0.0,8534.0,4905.0,5075.0,9957.0,0.0,0.0,1479
95,5377.0,6270.0,0.0,8380.0,4780.0,5067.0,9790.0,0.0,0.0,1464
96,5306.0,6310.0,0.0,8741.0,4896.0,4973.0,9784.0,0.0,0.0,1496
97,4408.0,6439.0,0.0,8431.0,4784.0,5205.0,9803.0,0.0,0.0,1520
98,5017.0,6332.0,0.0,8430.0,4609.0,5091.0,10043.0,0.0,0.0,1443
99,4710.0,6500.0,0.0,8440.0,4843.0,5190.0,10030.0,0.0,0.0,1483
100,4692.0,6356.0,0.0,8500.0,4913.0,5088.0,10016.0,0.0,0.0,1456
101,4890.0,6354.0,0.0,8304.0,4707.0,5172.0,10061.0,0.0,0.0,1515
102,4816.0,6714.0,0.0,8822.0,4826.0,5030.0,9842.0,0.0,0.0,1457
103,4571.0,6427.0,0.0,8812.0,4924.0,5102.0,9852.0,0.0,0.0,1472
104,4649.0,6414.0,0.0,8610.0,4950.0,5004.0,10043.0,0.0,0.0,1473
105,5205.0,6550.0,0.0,8410.0,4853.0,5109.0,9888.0,0.0,0.0,1483
106,5855.0,6547.0,0.0,8533.0,4979.0,5320.0,9886.0,0.0,0.0,1358
107,5849.0,6387.0,0.0,8421.0,4859.0,5091.0,9892.0,0.0,0.0,1112
108,5553.0,6715.0,0.0,8609.0,4780.0,5122.0,10156.0,0.0,0.0,1484
109,5504.0,7479.0,0.0,8573.0,4891.0,5117.0,9953.0,0.0,0.0,1456
110,5983.0,7368.0,0.0,8425.0,4843.0,5102.0,10198.0,0.0,0.0,1564
111,5598.0,7388.0,0.0,8877.0,4991.0,5108.0,9532.0,0.0,0.0,1574
112,5993.0,7415.0,0.0,8827.0,5004.0,5191.0,10204.0,0.0,0.0,1595
113,5696.0,7466.0,0.0,8521.0,5027.0,5211.0,10280.0,0.0,0.0,1514
114,5717.0,7322.0,0.0,9104.0,4949.0,4878.0,10482.0,0.0,0.0,1619
115,5705.0,7555.0,0.0,8720.0,4824.0,5015.0,10546.0,0.0,0.0,1579
116,6130.0,7546.0,0.0,8757.0,5038.0,5219.0,10306.0,0.0,0.0,1545
117,6301.0,7410.0,0.0,8855.0,4851.0,5165.0,10060.0,0.0,0.0,1525
118,5621.0,7460.0,0.0,8763.0,5055.0,5276.0,10332.0,0.0,0.0,1548
119,5680.0,7632.0,0.0,7772.0,4091.0,5121.0,10319.0,0.0,0.0,1525
120,5881.0,6644.0,0.0,8736.0,5013.0,5018.0,9474.0,0.0,0.0,1516
121,6098.0,7656.0,0.0,9009.0,5002.0,5239.0,10349.0,0.0,0.0,1632
122,6118.0,7846.0,0.0,9031.0,5028.0,4818.0,10160.0,0.0,0.0,1641
123,6175.0,7869.0,0.0,8317.0,5027.0,4603.0,10600.0,0.0,0.0,1624
124,6392.0,7912.0,0.0,8767.0,5040.0,5260.0,10278.0,0.0,0.0,1555
125,6936.0,7947.0,0.0,9178.0,4981.0,5030.0,10292.0,0.0,0.0,1635
126,6408.0,7823.0,0.0,8901.0,5006.0,5125.0,10292.0,0.0,0.0,1662
127,7387.0,8140.0,0.0,8949.0,4947.0,5235.0,10555.0,0.0,0.0,1626
