,T03,T04,T05,T06
0,6734,8313.0,8701.0,10790.0
1,1714,8278.0,8559.0,10873.0
2,6951,8613.0,8258.0,10609.0
3,1538,9005.0,8553.0,11079.0
4,1539,8304.0,8338.0,10608.0
5,7166,8341.0,8642.0,10996.0
6,1709,8738.0,8855.0,10373.0
7,6796,8824.0,8877.0,10909.0
8,6912,8312.0,8497.0,10303.0
9,7282,8898.0,9319.0,9882.0
10,8181,7272.0,6536.0,10508.0
11,8310,9750.0,9031.0,10494.0
12,7766,9587.0,8940.0,10703.0
13,7797,9019.0,8710.0,10841.0
14,8362,9342.0,8712.0,10783.0
15,7911,9525.0,8758.0,10736.0
16,8462,9275.0,8973.0,10904.0
17,6654,9510.0,9158.0,10664.0
18,8085,9615.0,8761.0,10690.0
19,7978,9730.0,9340.0,10817.0
20,7969,9759.0,8789.0,9934.0
21,8533,7255.0,7553.0,10888.0
22,8906,9979.0,8988.0,9494.0
23,7969,8860.0,7777.0,11128.0
24,7900,9956.0,8776.0,10754.0
25,8190,9813.0,8849.0,10934.0
26,8445,10139.0,9170.0,10623.0
27,6904,9980.0,9065.0,11086.0
28,8485,9889.0,9276.0,11089.0
29,8705,9763.0,9248.0,10809.0
30,8818,9781.0,9596.0,10832.0
31,9265,10240.0,9284.0,9742.0
32,9049,7503.0,7491.0,11117.0
33,9210,10427.0,9614.0,11465.0
34,9115,10978.0,9592.0,11432.0
35,9017,11797.0,9192.0,11196.0
36,9232,12517.0,9357.0,11484.0
37,6922,12218.0,9258.0,11348.0
38,8809,12573.0,9602.0,11767.0
39,10500,12298.0,9613.0,23368.0
40,8798,12694.0,9346.0,10092.0
41,8035,12795.0,9470.0,16817.0
42,8464,13100.0,9979.0,20523.0
43,7983,7450.0,7644.0,18436.0
44,7763,13281.0,9737.0,21322.0
45,8793,12965.0,9969.0,18812.0
46,9183,12771.0,9381.0,20344.0
47,9407,13446.0,9786.0,19367.0
48,6732,13105.0,9347.0,20757.0
49,9568,13133.0,9815.0,20392.0
50,9588,13201.0,10062.0,17583.0
51,9655,13718.0,10325.0,17337.0
52,9507,12851.0,10120.0,20713.0
53,9796,13150.0,9988.0,21507.0
54,10121,7423.0,8118.0,18963.0
55,9853,13872.0,10149.0,31780.0
56,9538,7085.0,8736.0,32227.0
57,9554,6993.0,10080.0,27809.0
58,9569,7195.0,10162.0,40429.0
59,6355,11724.0,10316.0,39610.0
60,9945,12228.0,9991.0,30953.0
61,6699,12306.0,10843.0,30322.0
62,1518,12824.0,11100.0,0.0
63,6946,12678.0,12265.0,0.0
64,1455,7446.0,12198.0,0.0
65,6789,12943.0,8460.0,0.0
66,1499,12296.0,12758.0,0.0
67,9348,12764.0,13203.0,0.0
68,9357,13731.0,14564.0,0.0
69,9300,12949.0,20703.0,0.0
70,9540,13392.0,26510.0,0.0
71,9162,14209.0,33003.0,0.0
72,7564,13987.0,0.0,0.0
73,9003,13953.0,0.0,0.0
74,9208,13992.0,0.0,0.0
75,1630,7652.0,0.0,0.0
76,9215,13447.0,0.0,0.0
77,9223,13361.0,0.0,0.0
78,9110,13445.0,0.0,0.0
79,8967,14145.0,0.0,0.0
80,9253,13345.0,0.0,0.0
81,9221,13456.0,0.0,0.0
82,9216,14394.0,0.0,0.0
83,7681,13990.0,0.0,0.0
84,9268,13539.0,0.0,0.0
85,9048,13494.0,0.0,0.0
86,6203,13796.0,0.0,0.0
87,409,14035.0,0.0,0.0
88,7817,14453.0,0.0,0.0
89,9340,14157.0,0.0,0.0
90,9375,12987.0,0.0,0.0
91,9741,13920.0,0.0,0.0
92,9656,11990.0,0.0,0.0
93,8118,14332.0,0.0,0.0
94,9686,14661.0,0.0,0.0
95,8981,13867.0,0.0,0.0
96,6335,14900.0,0.0,0.0
97,6297,15142.0,0.0,0.0
98,7986,14248.0,0.0,0.0
99,7638,14286.0,0.0,0.0
100,8034,14561.0,0.0,0.0
101,9841,14693.0,0.0,0.0
102,9938,14466.0,0.0,0.0
103,7676,14436.0,0.0,0.0
104,7884,14971.0,0.0,0.0
105,7968,15118.0,0.0,0.0
106,9046,14417.0,0.0,0.0
107,1620,15237.0,0.0,0.0
108,6800,14152.0,0.0,0.0
109,1884,14541.0,0.0,0.0
110,7578,14827.0,0.0,0.0
111,9992,15270.0,0.0,0.0
112,9742,14752.0,0.0,0.0
113,8009,15018.0,0.0,0.0
114,9872,15715.0,0.0,0.0
115,9597,15003.0,0.0,0.0
116,9729,15393.0,0.0,0.0
117,6984,15403.0,0.0,0.0
118,8067,14775.0,0.0,0.0
119,9922,14827.0,0.0,0.0
120,7920,15167.0,0.0,0.0
121,8262,15113.0,0.0,0.0
122,7907,16306.0,0.0,0.0
123,7923,15704.0,0.0,0.0
124,8474,15838.0,0.0,0.0
125,8275,16828.0,0.0,0.0
126,8218,17365.0,0.0,0.0
127,8106,14275.0,0.0,0.0
128,6985,16772.0,0.0,0.0
129,8606,17429.0,0.0,0.0
130,7140,18014.0,0.0,0.0
131,7521,17614.0,0.0,0.0
132,7423,15441.0,0.0,0.0
133,7691,16189.0,0.0,0.0
134,7318,17077.0,0.0,0.0
135,7722,17163.0,0.0,0.0
136,7279,16765.0,0.0,0.0
137,7012,17990.0,0.0,0.0
138,6890,17596.0,0.0,0.0
139,7394,17941.0,0.0,0.0
140,7929,17907.0,0.0,0.0
141,7904,17942.0,0.0,0.0
142,7671,18214.0,0.0,0.0
143,7440,18258.0,0.0,0.0
144,7310,18954.0,0.0,0.0
145,7205,18333.0,0.0,0.0
146,7915,19637.0,0.0,0.0
147,7637,21027.0,0.0,0.0
148,7627,20737.0,0.0,0.0
149,1504,17935.0,0.0,0.0
150,8356,21535.0,0.0,0.0
151,9393,18467.0,0.0,0.0
152,9652,19406.0,0.0,0.0
153,10225,18619.0,0.0,0.0
154,10018,19746.0,0.0,0.0
155,10628,18924.0,0.0,0.0
156,10932,20453.0,0.0,0.0
